State/UT,Month,2019,2018,2017,2016,2015,percentage2019,percentage2018,percentage2017,percentage2016,percentage2015,Monthly_visitors2019,Monthly_visitors2018,Monthly_visitors2017,Monthly_visitors2016,Monthly_visitors2015
Karnataka ,August,800837,785993,719129,652111,599478,1.94,1.88,1.85,1.87,2.73,15536.2378,14776.668399999999,13303.8865,12194.4757,16365.749399999999
Karnataka ,September,751513,719894,719964,608177,542600,1.94,1.88,1.85,1.87,2.73,14579.3522,13534.0072,13319.334,11372.9099,14812.98
Karnataka ,October,945017,890223,866976,741770,683286,1.94,1.88,1.85,1.87,2.73,18333.3298,16736.1924,16039.056,13871.099000000002,18653.7078
Karnataka ,November,1092440,1012569,997738,878280,815947,1.94,1.88,1.85,1.87,2.73,21193.336,19036.2972,18458.153000000002,16423.836,22275.3531
Karnataka ,December,1226398,1191498,1167840,1021375,912723,1.94,1.88,1.85,1.87,2.73,23792.1212,22400.162399999997,21605.04,19099.7125,24917.3379
Kerala ,January,1111040,1045027,964109,844533,790854,3.79,3.8,4.06,4.2,4.19,42108.416,39711.026,39142.825399999994,35470.386,33136.782600000006
Kerala ,February,1090516,1049259,931025,848782,761007,3.79,3.8,4.06,4.2,4.19,41330.5564,39871.842,37799.615,35648.844000000005,31886.1933
Kerala ,March,978236,1021539,885936,809107,729154,3.79,3.8,4.06,4.2,4.19,37075.1444,38818.481999999996,35969.001599999996,33982.494000000006,30551.552600000003
Kerala ,April,774651,745033,717899,592004,541551,3.79,3.8,4.06,4.2,4.19,29359.2729,28311.254,29146.699399999998,24864.168,22690.986900000004
Kerala ,May,615136,606513,622408,527466,509869,3.79,3.8,4.06,4.2,4.19,23313.6544,23047.494,25269.7648,22153.572,21363.511100000003
Kerala ,June,726446,683935,663470,546972,512341,3.79,3.8,4.06,4.2,4.19,27532.303399999997,25989.53,26936.881999999998,22972.824,21467.0879
Kerala ,July,818125,806493,779309,733834,628323,3.79,3.8,4.06,4.2,4.19,31006.9375,30646.734,31639.945399999997,30821.028000000002,26326.7337
Kerala ,August,800837,785993,719129,652111,599478,3.79,3.8,4.06,4.2,4.19,30351.7223,29867.734,29196.637399999996,27388.662,25118.128200000003
Kerala ,September,751513,719894,719964,608177,542600,3.79,3.8,4.06,4.2,4.19,28482.3427,27355.971999999998,29230.538399999998,25543.433999999997,22734.94
Kerala ,October,945017,890223,866976,741770,683286,3.79,3.8,4.06,4.2,4.19,35816.1443,33828.474,35199.2256,31154.34,28629.6834
Kerala ,November,1092440,1012569,997738,878280,815947,3.79,3.8,4.06,4.2,4.19,41403.476,38477.621999999996,40508.1628,36887.76,34188.1793
Kerala ,December,1226398,1191498,1167840,1021375,912723,3.79,3.8,4.06,4.2,4.19,46480.4842,45276.92399999999,47414.304,42897.75,38243.093700000005
Lakshadweep,January,1111040,1045027,964109,844533,790854,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,79.08539999999999
Lakshadweep,February,1090516,1049259,931025,848782,761007,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,76.1007
Lakshadweep,March,978236,1021539,885936,809107,729154,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,72.9154
Lakshadweep,April,774651,745033,717899,592004,541551,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,54.155100000000004
Lakshadweep,May,615136,606513,622408,527466,509869,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,50.986900000000006
Lakshadweep,June,726446,683935,663470,546972,512341,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,51.2341
Lakshadweep,July,818125,806493,779309,733834,628323,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,62.832300000000004
Lakshadweep,August,800837,785993,719129,652111,599478,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,59.9478
Lakshadweep,September,751513,719894,719964,608177,542600,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,54.26
Lakshadweep,October,945017,890223,866976,741770,683286,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,68.32860000000001
Lakshadweep,November,1092440,1012569,997738,878280,815947,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,81.5947
Lakshadweep,December,1226398,1191498,1167840,1021375,912723,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,91.2723
Madhya Pradesh ,January,1111040,1045027,964109,844533,790854,1.04,1.3,1.34,1.47,1.81,11554.816,13585.351,12919.0606,12414.6351,14314.4574
Madhya Pradesh ,February,1090516,1049259,931025,848782,761007,1.04,1.3,1.34,1.47,1.81,11341.3664,13640.367,12475.735,12477.0954,13774.2267
