Temperature,Humidity,Wind Speed,Pressure,Precipitation,State,Month,Year,RainFall,Visitors
20.53571429,44.71428571,9.821428571,29.96142857,0.228571429,delhi,february,2015,1.8,77622.71399999999
24.74193548,43.41935484,10.80645161,29.89193548,0.390322581,delhi,march,2015,97.9,74373.708
32.36666667,27.63333333,10.46666667,29.709,0.42,delhi,april,2015,28.4,55238.20199999999
38.90322581,14.70967742,11.25806452,29.56774194,0.022580645,delhi,may,2015,11.7,52006.638
37.53333333,29.06666667,11.7,29.482,1.183333333,delhi,june,2015,58.9,52258.78199999999
33.58064516,54.77419355,13.22580645,29.47677419,2.429032258,delhi,july,2015,268.8,64088.946
33.41935484,56.25806452,9.580645161,29.55806452,0.870967742,delhi,august,2015,244.7,61146.756
32.8,43.4,9.6,29.668,0.55,delhi,september,2015,26.1,55345.2
30.35483871,30.70967742,7.838709677,29.85387097,0.029032258,delhi,october,2015,0.2,69695.17199999999
25.26666667,30.93333333,8.066666667,29.944,0.003333333,delhi,november,2015,1.5,83226.594
18.58064516,33.25806452,8.612903226,30.02419355,0.0,delhi,december,2015,0.0,93097.746
27.35483871,56.5483871,8.64516129,29.91322581,0.05483871,goa,january,2015,3.6,18347.8128
28.67857143,56.32142857,8.821428571,29.88357143,0.0,goa,february,2015,0.0,17655.362399999998
29.5483871,67.22580645,8.322580645,29.85935484,0.225806452,goa,march,2015,43.5,16916.372799999997
31.0,67.76666667,8.633333333,29.80833333,0.04,goa,april,2015,9.3,12563.9832
31.5483871,72.61290323,8.322580645,29.77677419,0.206451613,goa,may,2015,51.1,11828.9608
28.0,83.13333333,11.93333333,29.734,7.92,goa,june,2015,785.5,11886.311199999998
27.09677419,85.96774194,9.806451613,29.77741935,3.641935484,goa,july,2015,789.8,14577.093599999998
27.29032258,83.96774194,8.612903226,29.80064516,2.380645161,goa,august,2015,485.7,13907.8896
28.03333333,79.93333333,7.9,29.80066667,3.3,goa,september,2015,292.1,12588.32
29.87096774,73.51612903,7.258064516,29.84741935,2.093548387,goa,october,2015,109.2,15852.235199999996
29.36666667,68.83333333,7.0,29.85033333,2.023333333,goa,november,2015,17.4,18929.9704
29.16129032,58.87096774,8.548387097,29.89580645,0.167741935,goa,december,2015,0.0,21175.1736
23.09677419,39.77419355,13.90322581,29.99903226,0.019354839,gujarat,january,2015,1.5,9648.4188
27.10714286,36.0,13.35714286,29.9175,0.028571429,gujarat,february,2015,0.0,9284.2854
30.93548387,30.29032258,14.0,29.87064516,0.05483871,gujarat,march,2015,5.7,8895.6788
35.1,34.96666667,19.06666667,29.75666667,0.016666667,gujarat,april,2015,3.9,6606.9222
36.48387097,42.38709677,22.64516129,29.70419355,0.0,gujarat,may,2015,0.9,6220.4018
33.76666667,56.73333333,21.93333333,29.56,2.513333333,gujarat,june,2015,135.6,6250.5602
29.70967742,71.70967742,28.03225806,29.59870968,3.616129032,gujarat,july,2015,309.2,7665.540599999999
28.83870968,75.03225806,19.12903226,29.68967742,0.583870968,gujarat,august,2015,24.8,7313.631600000001
30.1,67.7,14.13333333,29.74066667,1.436666667,gujarat,september,2015,99.0,6619.72
33.38709677,35.80645161,10.48387097,29.84741935,0.122580645,gujarat,october,2015,3.4,8336.089199999999
30.16666667,31.36666667,11.66666667,29.892,0.033333333,gujarat,november,2015,0.3,9954.5534
25.38709677,26.96774194,13.06451613,29.97677419,0.003225806,gujarat,december,2015,0.0,11135.2206
15.61290323,48.38709677,8.419354839,30.07258065,0.019354839,haryana,january,2015,12.1,10281.102
21.32142857,39.57142857,10.78571429,29.96142857,0.082142857,haryana,february,2015,6.6,9893.091
25.03225806,42.64516129,10.64516129,29.89322581,1.967741935,haryana,march,2015,70.7,9479.002
33.1,26.23333333,11.33333333,29.702,0.183333333,haryana,april,2015,34.9,7040.1630000000005
39.32258065,13.96774194,13.0,29.56774194,0.016129032,haryana,may,2015,8.3,6628.2970000000005
38.03333333,26.8,12.06666667,29.477,0.74,haryana,june,2015,43.5,6660.433000000001
34.80645161,49.32258065,15.74193548,29.46129032,1.483870968,haryana,july,2015,127.9,8168.199
34.5483871,49.96774194,11.06451613,29.55225806,1.625806452,haryana,august,2015,84.4,7793.214
33.76666667,38.6,10.16666667,29.66266667,0.353333333,haryana,september,2015,32.0,7053.8
31.19354839,27.74193548,8.419354839,29.84935484,0.0,haryana,october,2015,3.8,8882.718
25.0,28.43333333,7.7,29.947,0.0,haryana,november,2015,2.3,10607.311000000002
18.83870968,29.74193548,8.193548387,30.02451613,0.0,haryana,december,2015,0.2,11865.399
